level,d_type,d_func,d_name
1.0,room,Bathroom,/
1.0,room,Bedroom,/
1.0,room,DiningRoom,/
1.0,room,Ignore,/
1.0,room,Kitchen,/
1.0,room,LivingRoom,/
1.0,room,OutsideDoor,/
2.0,sensor,door,D001
2.0,sensor,door,D002
2.0,sensor,door,D003
2.0,sensor,door,D004
2.0,sensor,door,D005
2.0,sensor,lamp,L001
2.0,sensor,lamp,L002
2.0,sensor,lamp,L003
2.0,sensor,lamp,L004
2.0,sensor,lamp,L005
2.0,sensor,lamp,L006
2.0,sensor,lamp,L008
2.0,sensor,light,LS001
2.0,sensor,light,LS002
2.0,sensor,light,LS003
2.0,sensor,light,LS004
2.0,sensor,light,LS005
2.0,sensor,light,LS006
2.0,sensor,light,LS007
2.0,sensor,light,LS008
2.0,sensor,light,LS010
2.0,sensor,light,LS011
2.0,sensor,light,LS012
2.0,sensor,light,LS013
2.0,sensor,light,LS014
2.0,sensor,light,LS015
2.0,sensor,light,LS016
2.0,sensor,light,LS017
2.0,sensor,light,LS018
2.0,sensor,light,LS019
2.0,sensor,light,LS020
2.0,sensor,light,LS021
2.0,sensor,motion,M002
2.0,sensor,motion,M003
2.0,sensor,motion,M004
2.0,sensor,motion,M005
2.0,sensor,motion,M006
2.0,sensor,motion,M007
2.0,sensor,motion,M008
2.0,sensor,motion,M010
2.0,sensor,motion,M012
2.0,sensor,motion,M013
2.0,sensor,motion,M014
2.0,sensor,motion,M017
2.0,sensor,motion,M018
2.0,sensor,motion,M020
2.0,sensor,motion,M021
2.0,sensor,ambient,MA001
2.0,sensor,ambient,MA011
2.0,sensor,ambient,MA015
2.0,sensor,ambient,MA016
2.0,sensor,ambient,MA019
2.0,sensor,temperature,T101
2.0,sensor,temperature,T102
2.0,sensor,temperature,T103
2.0,sensor,temperature,T104
2.0,sensor,temperature,T105
3.0,controller,button,Button001
3.0,controller,button,Button002
3.0,controller,button,Button003
3.0,controller,button,Button004
3.0,controller,button,Button005
3.0,controller,button,Button006
3.0,controller,button,Button007
3.0,controller,button,Button008
